Settings:
Combfilter pulses: 12
Resample ratio: 5
Tempo detection method: CombFilterTempoDetector
Metre detection method: ConvolveMetreDetector
Song;Detected BPM;Real BPM;Detected metre;Real metre;Time
6-click_full_pussy;80;160;5\4;4\4;81.77021718025208;
120;60;120;5\4;4\4;96.28291368484497;
1-blue-tinted_sunglasses;61;123;5\4;4\4;95.69667434692383;
100;100;100;5\4;3\4;57.386168003082275;
1-sunset_(endless_night_journey;70;140;5\4;4\4;82.98352384567261;
7-don't_look_back;178;89;5\4;4\4;39.791234254837036;
7-northern_lights;70;140;5\4;4\4;81.67227411270142;
8-i'll_pretend;70;140;5\4;4\4;82.75365447998047;
9-nibtal_7;70;140;5\4;4\4;81.39843130111694;
10-at_least_you've_been_told;65;130;5\4;4\4;91.24879479408264;
1-don't_rain_on_my_parade;81;160;5\4;4\4;71.8418960571289;
4-goodbye_on_a_beautiful_day;60;60;5\4;4\4;88.20753574371338;
5-apartment_a;60;115;5\4;4\4;105.07388257980347;
12-rotgut;145;147;5\4;4\4;49.07092618942261;
4-buffalo_nights;148;147;5\4;8\8;50.38417410850525;
6-didn't_i;85;85;5\4;4\4;78.73595356941223;
4-patterns;94;106;5\4;6\8;66.34503817558289;
1-prospects;116;116;5\4;4\4;66.88373494148254;
18-slide_boogie;70;120;5\4;4\4;84.61347126960754;
6-invisible_pants;127;118;5\4;4\4;57.73396897315979;
7-heavenly_rain;85;126;5\4;4\4;71.23424553871155;
1-by_mourning;100;202;5\4;4\4;62.2164044380188;
5-kc_rip_off;70;140;5\4;4\4;79.33660960197449;
5-code_red_love_is_dead;60;120;5\4;4\4;94.96167039871216;
7-serenade_for_samantha;60;120;5\4;4\4;98.47366118431091;
1-sweet_dissonance;75;120;5\4;4\4;82.28492331504822;
6-life_glides;60;120;5\4;4\4;100.74236226081848;
1-for_a_good_day_o_host_to_you;183;77;5\4;4\4;37.066789865493774;
5-bliss;135;68;5\4;4\4;57.57506060600281;
10-the_last_faery;90;90;5\4;4\4;64.37916874885559;
1-odysseia;85;93;5\4;4\4;80.06918811798096;
28-la_victoire_suite_in_d_from_l;70;134;5\4;4\4;96.00307369232178;
18-handel_oxford_water_music_suit;85;167;5\4;3\4;84.93340849876404;
22-handel_oxford_water_music_suit;74;150;5\4;4\4;91.628577709198;
10-sonata_iii_moderato;75;152;5\4;4\4;103.28990721702576;
19-sonata_v_allegro;72;140;5\4;4\4;96.50278973579407;
