Settings:
Combfilter pulses: 2
Resample ratio: 5
Tempo detection method: CombFilterTempoDetector
Metre detection method: CombFilterMetreDetector
Song;Detected BPM;Real BPM;Detected metre;Real metre;Time
12-rotgut;154;147;6\8;4\4;1.4924249649047852;
4-buffalo_nights;67;147;4\4;8\8;1.6899855136871338;
6-didn't_i;103;85;4\4;4\4;1.764112949371338;
4-patterns;60;106;6\8;6\8;1.4835999011993408;
1-prospects;239;116;6\8;4\4;1.7234742641448975;
18-slide_boogie;114;120;6\8;4\4;2.8731260299682617;
6-invisible_pants;122;118;4\4;4\4;2.0024373531341553;
7-heavenly_rain;106;126;6\8;4\4;1.8534955978393555;
1-by_mourning;67;202;4\4;4\4;1.6254494190216064;
5-kc_rip_off;219;140;6\8;4\4;1.5065536499023438;
5-code_red_love_is_dead;60;120;6\8;4\4;1.665172815322876;
7-serenade_for_samantha;62;120;6\8;4\4;1.4957222938537598;
1-sweet_dissonance;105;120;6\8;4\4;1.8248741626739502;
6-life_glides;122;120;4\4;4\4;1.6393218040466309;
1-for_a_good_day_o_host_to_you;86;77;6\8;4\4;1.5025055408477783;
5-bliss;81;68;6\8;4\4;2.2229912281036377;
10-the_last_faery;89;90;6\8;4\4;1.9239866733551025;
1-odysseia;190;93;6\8;4\4;1.501983880996704;
28-la_victoire_suite_in_d_from_l;94;134;4\4;4\4;2.0324504375457764;
18-handel_oxford_water_music_suit;82;167;4\4;3\4;2.3934667110443115;
22-handel_oxford_water_music_suit;119;150;6\8;4\4;1.9440279006958008;
10-sonata_iii_moderato;137;152;4\4;4\4;2.5629708766937256;
19-sonata_v_allegro;152;140;4\4;4\4;2.7549803256988525;
6-click_full_pussy;80;160;6\8;4\4;1.7104992866516113;
120;120;120;6\8;4\4;1.398998737335205;
1-blue-tinted_sunglasses;61;123;6\8;4\4;1.5739784240722656;
100;100;100;6\8;3\4;1.5569896697998047;
1-sunset_(endless_night_journey;70;140;6\8;4\4;1.4989807605743408;
7-don't_look_back;89;89;6\8;4\4;1.6319921016693115;
7-northern_lights;150;140;6\8;4\4;2.5039727687835693;
8-i'll_pretend;141;140;6\8;4\4;1.495995044708252;
9-nibtal_7;60;140;6\8;4\4;1.3559925556182861;
10-at_least_you've_been_told;65;130;4\4;4\4;1.6841239929199219;
1-don't_rain_on_my_parade;113;160;6\8;4\4;1.4798517227172852;
4-goodbye_on_a_beautiful_day;219;60;6\8;4\4;1.6269898414611816;
5-apartment_a;61;115;6\8;4\4;1.7999804019927979;
