Settings:
Combfilter pulses: 4
Resample ratio: 5
Tempo detection method: ConvolveTempoDetector
Metre detection method: CombFilterMetreDetector
Song;Detected BPM;Real BPM;Detected metre;Real metre;Time
12-rotgut;73;147;4\4;4\4;30.041616439819336;
4-buffalo_nights;60;147;6\8;8\8;25.934271097183228;
6-didn't_i;60;85;6\8;4\4;25.81127953529358;
4-patterns;62;106;4\4;6\8;30.166324853897095;
1-prospects;60;116;6\8;4\4;27.54565954208374;
18-slide_boogie;60;120;6\8;4\4;25.941951751708984;
6-invisible_pants;61;118;4\4;4\4;26.473658800125122;
7-heavenly_rain;60;126;6\8;4\4;25.830193758010864;
1-by_mourning;63;202;6\8;4\4;25.71658754348755;
5-kc_rip_off;70;140;6\8;4\4;30.62965178489685;
5-code_red_love_is_dead;60;120;6\8;4\4;25.97777771949768;
7-serenade_for_samantha;60;120;6\8;4\4;25.659786224365234;
1-sweet_dissonance;61;120;4\4;4\4;25.766225337982178;
6-life_glides;61;120;4\4;4\4;26.28059959411621;
1-for_a_good_day_o_host_to_you;72;77;6\8;4\4;30.331658840179443;
5-bliss;60;68;6\8;4\4;27.54192614555359;
10-the_last_faery;83;90;4\4;4\4;30.037083387374878;
1-odysseia;61;93;4\4;4\4;26.316776752471924;
28-la_victoire_suite_in_d_from_l;60;134;6\8;4\4;27.169284343719482;
18-handel_oxford_water_music_suit;60;167;6\8;3\4;29.210167169570923;
22-handel_oxford_water_music_suit;63;150;6\8;4\4;30.293493270874023;
10-sonata_iii_moderato;60;152;6\8;4\4;26.284784078598022;
19-sonata_v_allegro;80;140;6\8;4\4;29.428759336471558;
6-click_full_pussy;80;160;6\8;4\4;29.215922355651855;
120;60;120;6\8;4\4;25.632780075073242;
1-blue-tinted_sunglasses;63;123;6\8;4\4;25.940779447555542;
100;100;100;6\8;3\4;27.8162739276886;
1-sunset_(endless_night_journey;70;140;6\8;4\4;29.346745014190674;
7-don't_look_back;60;89;6\8;4\4;25.808290243148804;
7-northern_lights;66;140;6\8;4\4;30.554760932922363;
8-i'll_pretend;69;140;4\4;4\4;29.638739585876465;
9-nibtal_7;60;140;6\8;4\4;25.612781286239624;
10-at_least_you've_been_told;60;130;6\8;4\4;26.458775758743286;
1-don't_rain_on_my_parade;80;160;6\8;4\4;28.654621124267578;
4-goodbye_on_a_beautiful_day;60;60;6\8;4\4;25.72502303123474;
5-apartment_a;60;115;6\8;4\4;25.852280616760254;
