Settings:
Combfilter pulses: 12
Resample ratio: 5
Tempo detection method: CombFilterTempoDetector
Metre detection method: CombFilterMetreDetector
Song;Detected BPM;Real BPM;Detected metre;Real metre;Time
28-la_victoire_suite_in_d_from_l;134;134;6\8;4\4;19.488574028015137;
18-handel_oxford_water_music_suit;167;167;6\8;3\4;14.527355670928955;
22-handel_oxford_water_music_suit;150;150;6\8;4\4;15.482573747634888;
10-sonata_iii_moderato;152;152;6\8;4\4;23.229583263397217;
19-sonata_v_allegro;140;140;6\8;4\4;15.963145971298218;
6-click_full_pussy;160;160;4\4;4\4;14.35584831237793;
120;120;120;5\4;4\4;11.508632898330688;
1-blue-tinted_sunglasses;123;123;4\4;4\4;13.81173586845398;
7-don't_look_back;89;89;6\8;4\4;12.750840187072754;
1-sunset_(endless_night_journey;140;140;4\4;4\4;12.119210004806519;
8-i'll_pretend;140;140;5\4;4\4;12.606937885284424;
7-northern_lights;140;140;6\8;4\4;12.841419219970703;
10-at_least_you've_been_told;130;130;6\8;4\4;14.465027093887329;
9-nibtal_7;140;140;6\8;4\4;12.76413607597351;
100;100;100;5\4;3\4;12.475369930267334;
1-don't_rain_on_my_parade;160;160;6\8;4\4;12.422580242156982;
4-goodbye_on_a_beautiful_day;60;60;6\8;4\4;12.786966562271118;
5-apartment_a;115;115;4\4;4\4;12.62037706375122;
12-rotgut;147;147;6\8;4\4;11.914309740066528;
4-buffalo_nights;147;147;6\8;8\8;12.727294683456421;
6-didn't_i;85;85;6\8;4\4;12.982001781463623;
4-patterns;106;106;6\8;6\8;13.766311168670654;
1-prospects;116;116;6\8;4\4;22.59535789489746;
18-slide_boogie;120;120;6\8;4\4;14.246218919754028;
6-invisible_pants;118;118;6\8;4\4;17.06783676147461;
7-heavenly_rain;126;126;6\8;4\4;12.342338562011719;
1-by_mourning;202;202;6\8;4\4;12.479043006896973;
5-kc_rip_off;140;140;6\8;4\4;12.805708885192871;
5-code_red_love_is_dead;120;120;6\8;4\4;11.370126962661743;
7-serenade_for_samantha;120;120;6\8;4\4;11.753607988357544;
1-sweet_dissonance;120;120;6\8;4\4;13.076715230941772;
6-life_glides;120;120;6\8;4\4;10.997313261032104;
1-for_a_good_day_o_host_to_you;77;77;6\8;4\4;13.15851354598999;
5-bliss;68;68;6\8;4\4;23.31729030609131;
10-the_last_faery;90;90;5\4;4\4;13.103265047073364;
1-odysseia;93;93;6\8;4\4;20.036032676696777;
