Settings:
Combfilter pulses: 4
Resample ratio: 5
Tempo detection method: CombFilterTempoDetector
Metre detection method: CombFilterNormalizedMetreDetector
Song;Detected BPM;Real BPM;Detected metre;Real metre;Time
28-la_victoire_suite_in_d_from_l;134;134;6\8;4\4;13.347312450408936;
18-handel_oxford_water_music_suit;167;167;6\8;3\4;11.610026359558105;
22-handel_oxford_water_music_suit;150;150;5\4;4\4;6.102989435195923;
10-sonata_iii_moderato;152;152;6\8;4\4;6.180356979370117;
19-sonata_v_allegro;140;140;5\4;4\4;6.8355491161346436;
6-click_full_pussy;160;160;5\4;4\4;6.141051530838013;
120;120;120;5\4;4\4;6.1360182762146;
1-blue-tinted_sunglasses;123;123;5\4;4\4;5.949652910232544;
7-don't_look_back;89;89;5\4;4\4;7.683591365814209;
1-sunset_(endless_night_journey;140;140;5\4;4\4;6.30345892906189;
8-i'll_pretend;140;140;5\4;4\4;7.048564672470093;
7-northern_lights;140;140;5\4;4\4;7.160415887832642;
10-at_least_you've_been_told;130;130;5\4;4\4;6.19553017616272;
9-nibtal_7;140;140;6\8;4\4;6.34026026725769;
100;100;100;5\4;3\4;8.533692836761475;
1-don't_rain_on_my_parade;160;160;5\4;4\4;6.14741063117981;
4-goodbye_on_a_beautiful_day;60;60;6\8;4\4;10.573425531387329;
5-apartment_a;115;115;5\4;4\4;6.474804878234863;
12-rotgut;147;147;5\4;4\4;6.411297559738159;
4-buffalo_nights;147;147;6\8;8\8;6.295308351516724;
6-didn't_i;85;85;5\4;4\4;7.705092668533325;
4-patterns;106;106;6\8;6\8;7.160796403884888;
1-prospects;116;116;6\8;4\4;8.973869323730469;
18-slide_boogie;120;120;6\8;4\4;7.804318189620972;
6-invisible_pants;118;118;6\8;4\4;7.531475305557251;
7-heavenly_rain;126;126;6\8;4\4;7.678892135620117;
1-by_mourning;202;202;6\8;4\4;5.843228340148926;
5-kc_rip_off;140;140;6\8;4\4;7.173505783081055;
5-code_red_love_is_dead;120;120;6\8;4\4;7.644410848617554;
7-serenade_for_samantha;120;120;6\8;4\4;7.565039873123169;
1-sweet_dissonance;120;120;6\8;4\4;8.297197818756104;
6-life_glides;120;120;6\8;4\4;7.713712930679321;
1-for_a_good_day_o_host_to_you;77;77;5\4;4\4;11.946558952331543;
5-bliss;68;68;5\4;4\4;11.023818969726562;
10-the_last_faery;90;90;6\8;4\4;9.411262035369873;
1-odysseia;93;93;6\8;4\4;8.72605562210083;
