Settings:
Combfilter pulses: 4
Resample ratio: 5
Tempo detection method: CombFilterTempoDetector
Metre detection method: ConvolveMetreDetector
Song;Detected BPM;Real BPM;Detected metre;Real metre;Time
28-la_victoire_suite_in_d_from_l;134;134;5\4;4\4;17.351222038269043;
18-handel_oxford_water_music_suit;167;167;5\4;3\4;16.138530731201172;
22-handel_oxford_water_music_suit;150;150;5\4;4\4;14.354573726654053;
10-sonata_iii_moderato;152;152;5\4;4\4;15.215399503707886;
19-sonata_v_allegro;140;140;5\4;4\4;16.775615453720093;
6-click_full_pussy;160;160;5\4;4\4;14.290355205535889;
120;120;120;5\4;4\4;16.542913675308228;
1-blue-tinted_sunglasses;123;123;5\4;4\4;17.648144483566284;
7-don't_look_back;89;89;5\4;4\4;21.297061443328857;
1-sunset_(endless_night_journey;140;140;5\4;4\4;15.633626937866211;
8-i'll_pretend;140;140;5\4;4\4;14.835158586502075;
7-northern_lights;140;140;5\4;4\4;14.835126161575317;
10-at_least_you've_been_told;130;130;5\4;4\4;16.132153034210205;
9-nibtal_7;140;140;5\4;4\4;14.17592167854309;
100;100;100;5\4;3\4;20.78798484802246;
1-don't_rain_on_my_parade;160;160;5\4;4\4;14.491531372070312;
4-goodbye_on_a_beautiful_day;60;60;5\4;4\4;31.184980154037476;
5-apartment_a;115;115;5\4;4\4;18.195358514785767;
12-rotgut;147;147;5\4;4\4;14.584489822387695;
4-buffalo_nights;147;147;5\4;8\8;14.06543755531311;
6-didn't_i;85;85;5\4;4\4;26.416200399398804;
4-patterns;106;106;5\4;6\8;23.55882716178894;
1-prospects;116;116;5\4;4\4;20.987427234649658;
18-slide_boogie;120;120;5\4;4\4;17.1508731842041;
6-invisible_pants;118;118;5\4;4\4;19.500710487365723;
7-heavenly_rain;126;126;5\4;4\4;16.432478189468384;
1-by_mourning;202;202;5\4;4\4;12.278064966201782;
5-kc_rip_off;140;140;5\4;4\4;16.997510194778442;
5-code_red_love_is_dead;120;120;5\4;4\4;17.074991941452026;
7-serenade_for_samantha;120;120;5\4;4\4;16.897759199142456;
1-sweet_dissonance;120;120;5\4;4\4;19.294434309005737;
6-life_glides;120;120;5\4;4\4;18.390722036361694;
1-for_a_good_day_o_host_to_you;77;77;5\4;4\4;26.98407483100891;
5-bliss;68;68;5\4;4\4;30.92125177383423;
10-the_last_faery;90;90;5\4;4\4;22.08541488647461;
1-odysseia;93;93;5\4;4\4;24.286540746688843;
