Settings:
Combfilter pulses: 4
Resample ratio: 5
Tempo detection method: CombFilterTempoDetector
Metre detection method: ConvolveNormalizedMetreDetector
Song;Detected BPM;Real BPM;Detected metre;Real metre;Time
28-la_victoire_suite_in_d_from_l;134;134;3\4;4\4;23.801719427108765;
18-handel_oxford_water_music_suit;167;167;3\4;3\4;20.914859294891357;
22-handel_oxford_water_music_suit;150;150;3\4;4\4;21.932748794555664;
10-sonata_iii_moderato;152;152;3\4;4\4;20.206756591796875;
19-sonata_v_allegro;140;140;4\4;4\4;21.404141664505005;
6-click_full_pussy;160;160;4\4;4\4;16.396447896957397;
120;120;120;3\4;4\4;17.056965351104736;
1-blue-tinted_sunglasses;123;123;4\4;4\4;16.982792615890503;
7-don't_look_back;89;89;3\4;4\4;21.212896585464478;
1-sunset_(endless_night_journey;140;140;4\4;4\4;15.17721176147461;
8-i'll_pretend;140;140;3\4;4\4;15.860342025756836;
7-northern_lights;140;140;3\4;4\4;15.463779926300049;
10-at_least_you've_been_told;130;130;3\4;4\4;17.678850412368774;
9-nibtal_7;140;140;3\4;4\4;15.25467038154602;
100;100;100;3\4;3\4;19.668355703353882;
1-don't_rain_on_my_parade;160;160;4\4;4\4;13.364603519439697;
4-goodbye_on_a_beautiful_day;60;60;3\4;4\4;28.97689700126648;
5-apartment_a;115;115;4\4;4\4;17.26695418357849;
12-rotgut;147;147;3\4;4\4;13.400826454162598;
4-buffalo_nights;147;147;3\4;8\8;13.827179431915283;
6-didn't_i;85;85;3\4;4\4;23.61452078819275;
4-patterns;106;106;3\4;6\8;18.928924083709717;
1-prospects;116;116;3\4;4\4;18.47224712371826;
18-slide_boogie;120;120;3\4;4\4;16.791382312774658;
6-invisible_pants;118;118;3\4;4\4;17.82398247718811;
7-heavenly_rain;126;126;3\4;4\4;15.572277784347534;
1-by_mourning;202;202;3\4;4\4;11.427242994308472;
5-kc_rip_off;140;140;3\4;4\4;13.874775171279907;
5-code_red_love_is_dead;120;120;3\4;4\4;16.00579833984375;
7-serenade_for_samantha;120;120;3\4;4\4;15.531655550003052;
1-sweet_dissonance;120;120;3\4;4\4;17.198172092437744;
6-life_glides;120;120;3\4;4\4;16.53143835067749;
1-for_a_good_day_o_host_to_you;77;77;3\4;4\4;26.104217529296875;
5-bliss;68;68;3\4;4\4;29.161704778671265;
10-the_last_faery;90;90;3\4;4\4;20.150794744491577;
1-odysseia;93;93;3\4;4\4;22.61054277420044;
