Settings:
Combfilter pulses: 4
Resample ratio: 5
Tempo detection method: CombFilterTempoDetector
Metre detection method: CorrelateNormalizedMetreDetector
Song;Detected BPM;Real BPM;Detected metre;Real metre;Time
28-la_victoire_suite_in_d_from_l;134;134;6\8;4\4;11.954655170440674;
18-handel_oxford_water_music_suit;167;167;6\8;3\4;12.909067630767822;
22-handel_oxford_water_music_suit;150;150;6\8;4\4;9.39697551727295;
10-sonata_iii_moderato;152;152;6\8;4\4;10.560794591903687;
19-sonata_v_allegro;140;140;6\8;4\4;9.951631307601929;
6-click_full_pussy;160;160;4\4;4\4;9.595481395721436;
120;120;120;4\4;4\4;8.887925148010254;
1-blue-tinted_sunglasses;123;123;4\4;4\4;10.62643814086914;
7-don't_look_back;89;89;6\8;4\4;8.095284461975098;
1-sunset_(endless_night_journey;140;140;6\8;4\4;9.404953002929688;
8-i'll_pretend;140;140;6\8;4\4;9.450900077819824;
7-northern_lights;140;140;6\8;4\4;9.7929368019104;
10-at_least_you've_been_told;130;130;6\8;4\4;10.369546890258789;
9-nibtal_7;140;140;6\8;4\4;9.63152003288269;
100;100;100;6\8;3\4;8.881990194320679;
1-don't_rain_on_my_parade;160;160;6\8;4\4;9.288058042526245;
4-goodbye_on_a_beautiful_day;60;60;3\4;4\4;9.581719875335693;
5-apartment_a;115;115;6\8;4\4;9.169838190078735;
12-rotgut;147;147;6\8;4\4;8.743525981903076;
4-buffalo_nights;147;147;6\8;8\8;8.635078191757202;
6-didn't_i;85;85;6\8;4\4;9.479290962219238;
4-patterns;106;106;6\8;6\8;8.997494459152222;
1-prospects;116;116;6\8;4\4;10.311302661895752;
18-slide_boogie;120;120;6\8;4\4;9.078056335449219;
6-invisible_pants;118;118;6\8;4\4;10.225754022598267;
7-heavenly_rain;126;126;6\8;4\4;9.07439923286438;
1-by_mourning;202;202;6\8;4\4;9.015874862670898;
5-kc_rip_off;140;140;6\8;4\4;8.898408889770508;
5-code_red_love_is_dead;120;120;6\8;4\4;8.996941804885864;
7-serenade_for_samantha;120;120;6\8;4\4;8.750560998916626;
1-sweet_dissonance;120;120;6\8;4\4;8.683589935302734;
6-life_glides;120;120;6\8;4\4;9.312072992324829;
1-for_a_good_day_o_host_to_you;77;77;6\8;4\4;9.834782838821411;
5-bliss;68;68;6\8;4\4;11.730165719985962;
10-the_last_faery;90;90;6\8;4\4;7.753615617752075;
1-odysseia;93;93;6\8;4\4;11.127701759338379;
