Settings:
Combfilter pulses: 12
Resample ratio: 5
Tempo detection method: CombFilterTempoDetector
Metre detection method: CombFilterNormalizedMetreDetector
Song;Detected BPM;Real BPM;Detected metre;Real metre;Time
6-click_full_pussy;80;160;5\4;4\4;15.137338161468506;
120;60;120;6\8;4\4;11.492425441741943;
1-blue-tinted_sunglasses;61;123;5\4;4\4;12.064095735549927;
100;100;100;5\4;3\4;12.555814981460571;
1-sunset_(endless_night_journey;70;140;5\4;4\4;13.51626706123352;
7-don't_look_back;178;89;5\4;4\4;12.055102348327637;
7-northern_lights;70;140;5\4;4\4;14.239850759506226;
8-i'll_pretend;70;140;6\8;4\4;14.978430986404419;
9-nibtal_7;70;140;5\4;4\4;14.766554117202759;
10-at_least_you've_been_told;65;130;6\8;4\4;15.891890525817871;
1-don't_rain_on_my_parade;81;160;6\8;4\4;15.030398607254028;
4-goodbye_on_a_beautiful_day;60;60;6\8;4\4;16.38164758682251;
5-apartment_a;60;115;5\4;4\4;18.22257423400879;
12-rotgut;145;147;6\8;4\4;13.763123273849487;
4-buffalo_nights;148;147;6\8;8\8;14.633625745773315;
6-didn't_i;85;85;6\8;4\4;15.956870317459106;
4-patterns;94;106;6\8;6\8;15.318237543106079;
1-prospects;116;116;6\8;4\4;24.386051416397095;
18-slide_boogie;70;120;6\8;4\4;18.666322469711304;
6-invisible_pants;127;118;6\8;4\4;18.742277145385742;
7-heavenly_rain;85;126;5\4;4\4;18.05367088317871;
1-by_mourning;100;202;6\8;4\4;17.94673490524292;
5-kc_rip_off;70;140;6\8;4\4;20.99298858642578;
5-code_red_love_is_dead;60;120;4\4;4\4;22.393190145492554;
7-serenade_for_samantha;60;120;6\8;4\4;20.60221290588379;
1-sweet_dissonance;75;120;5\4;4\4;20.680168628692627;
6-life_glides;60;120;6\8;4\4;22.055383920669556;
1-for_a_good_day_o_host_to_you;183;77;6\8;4\4;15.406185626983643;
5-bliss;135;68;5\4;4\4;29.91588544845581;
10-the_last_faery;90;90;5\4;4\4;21.860673904418945;
1-odysseia;85;93;6\8;4\4;25.954719066619873;
28-la_victoire_suite_in_d_from_l;70;134;6\8;4\4;29.183301210403442;
18-handel_oxford_water_music_suit;85;167;6\8;3\4;24.338073015213013;
22-handel_oxford_water_music_suit;74;150;6\8;4\4;24.980709314346313;
10-sonata_iii_moderato;75;152;5\4;4\4;34.131471395492554;
19-sonata_v_allegro;72;140;5\4;4\4;28.797524213790894;
