Settings:
Combfilter pulses: 8
Resample ratio: 5
Tempo detection method: CombFilterTempoDetector
Metre detection method: ConvolveMetreDetector
Song;Detected BPM;Real BPM;Detected metre;Real metre;Time
12-rotgut;144;147;5\4;4\4;13.285887479782104;
4-buffalo_nights;61;147;5\4;8\8;22.24582004547119;
6-didn't_i;85;85;5\4;4\4;18.785962104797363;
4-patterns;93;106;5\4;6\8;17.10794448852539;
1-prospects;113;116;5\4;4\4;18.90679407119751;
18-slide_boogie;90;120;5\4;4\4;17.90151882171631;
6-invisible_pants;127;118;5\4;4\4;17.443132162094116;
7-heavenly_rain;87;126;5\4;4\4;17.636854887008667;
1-by_mourning;145;202;5\4;4\4;13.518884420394897;
5-kc_rip_off;140;140;5\4;4\4;14.230905771255493;
5-code_red_love_is_dead;60;120;5\4;4\4;21.88684368133545;
7-serenade_for_samantha;60;120;5\4;4\4;21.562331914901733;
1-sweet_dissonance;88;120;5\4;4\4;17.487526178359985;
6-life_glides;60;120;5\4;4\4;21.56470251083374;
1-for_a_good_day_o_host_to_you;77;77;5\4;4\4;19.850662231445312;
5-bliss;135;68;5\4;4\4;13.729349613189697;
10-the_last_faery;90;90;5\4;4\4;16.636194467544556;
1-odysseia;219;93;5\4;4\4;14.234256982803345;
28-la_victoire_suite_in_d_from_l;67;134;5\4;4\4;25.349663496017456;
18-handel_oxford_water_music_suit;95;167;5\4;3\4;18.139521837234497;
22-handel_oxford_water_music_suit;171;150;5\4;4\4;12.581783771514893;
10-sonata_iii_moderato;76;152;5\4;4\4;21.295751810073853;
19-sonata_v_allegro;72;140;5\4;4\4;22.43181276321411;
6-click_full_pussy;80;160;5\4;4\4;19.174832820892334;
120;60;120;5\4;4\4;21.696712970733643;
1-blue-tinted_sunglasses;61;123;5\4;4\4;23.01127052307129;
100;100;100;5\4;3\4;15.582870721817017;
1-sunset_(endless_night_journey;70;140;5\4;4\4;20.060834169387817;
7-don't_look_back;60;89;5\4;4\4;21.7486469745636;
7-northern_lights;70;140;5\4;4\4;22.91179919242859;
8-i'll_pretend;140;140;5\4;4\4;13.613891363143921;
9-nibtal_7;70;140;5\4;4\4;19.905826568603516;
10-at_least_you've_been_told;65;130;5\4;4\4;22.298643827438354;
1-don't_rain_on_my_parade;83;160;5\4;4\4;19.228816509246826;
4-goodbye_on_a_beautiful_day;195;60;5\4;4\4;12.441891431808472;
5-apartment_a;60;115;5\4;4\4;23.491981744766235;
