Settings:
Combfilter pulses: 8
Resample ratio: 5
Tempo detection method: CombFilterTempoDetector
Metre detection method: CorrelateNormalizedMetreDetector
Song;Detected BPM;Real BPM;Detected metre;Real metre;Time
12-rotgut;144;147;6\8;4\4;10.984415054321289;
4-buffalo_nights;61;147;6\8;8\8;12.385897159576416;
6-didn't_i;85;85;6\8;4\4;13.544898271560669;
4-patterns;93;106;6\8;6\8;12.515886783599854;
1-prospects;113;116;6\8;4\4;15.669033527374268;
18-slide_boogie;90;120;6\8;4\4;13.186882019042969;
6-invisible_pants;127;118;6\8;4\4;14.518879175186157;
7-heavenly_rain;87;126;6\8;4\4;12.39889144897461;
1-by_mourning;145;202;6\8;4\4;11.266907215118408;
5-kc_rip_off;140;140;6\8;4\4;11.64391827583313;
5-code_red_love_is_dead;60;120;6\8;4\4;11.826886892318726;
7-serenade_for_samantha;60;120;6\8;4\4;11.685907363891602;
1-sweet_dissonance;88;120;6\8;4\4;12.537893772125244;
6-life_glides;60;120;6\8;4\4;11.494913816452026;
1-for_a_good_day_o_host_to_you;77;77;6\8;4\4;13.585895776748657;
5-bliss;135;68;6\8;4\4;11.300618171691895;
10-the_last_faery;90;90;6\8;4\4;11.953797578811646;
1-odysseia;219;93;6\8;4\4;13.090940952301025;
28-la_victoire_suite_in_d_from_l;67;134;6\8;4\4;17.154024839401245;
18-handel_oxford_water_music_suit;95;167;6\8;3\4;13.726887226104736;
22-handel_oxford_water_music_suit;171;150;6\8;4\4;10.939908027648926;
10-sonata_iii_moderato;76;152;6\8;4\4;14.723881721496582;
19-sonata_v_allegro;72;140;6\8;4\4;15.148864030838013;
6-click_full_pussy;80;160;6\8;4\4;13.304905414581299;
120;60;120;6\8;4\4;11.595402479171753;
1-blue-tinted_sunglasses;61;123;4\4;4\4;14.906402349472046;
100;100;100;4\4;3\4;11.732865571975708;
1-sunset_(endless_night_journey;70;140;6\8;4\4;12.798892736434937;
7-don't_look_back;60;89;6\8;4\4;12.11056399345398;
7-northern_lights;70;140;4\4;4\4;25.327941417694092;
8-i'll_pretend;140;140;6\8;4\4;11.434890747070312;
9-nibtal_7;70;140;6\8;4\4;12.243892669677734;
10-at_least_you've_been_told;65;130;6\8;4\4;14.017905235290527;
1-don't_rain_on_my_parade;83;160;6\8;4\4;14.260149717330933;
4-goodbye_on_a_beautiful_day;195;60;6\8;4\4;11.881949424743652;
5-apartment_a;60;115;6\8;4\4;18.025680780410767;
