Settings:
Combfilter pulses: 8
Resample ratio: 4
Tempo detection method: CombFilterTempoDetector
Metre detection method: CorrelateNormalizedMetreDetector
10-at_least_you've_been_told;131;130;6/8;4/4;15.980362892150879;
7-heavenly_rain;85;116;6/8;4/4;21.900068759918213;
Dave_Brubeck_Quartet_Take_Five;80;140;6/8;5/4;25.510646104812622;
1-don't_rain_on_my_parade;80;160;6/8;4/4;19.54597020149231;
100;100;100;4/4;3/4;17.79685068130493;
4-goodbye_on_a_beautiful_day;225;60;4/4;4/4;14.544555187225342;
120;60;120;6/8;4/4;25.53022336959839;
5-apartment_a;60;115;6/8;4/4;17.639641284942627;
7-don't_look_back;60;89;6/8;4/4;17.672674655914307;
12-rotgut;142;147;6/8;4/4;17.14396047592163;
4-buffalo_nights;148;147;6/8;4/4;16.421879291534424;
8-i'll_pretend;140;140;6/8;4/4;16.21796441078186;
1-prospects;225;126;4\4;4\4;15.676663398742676;
6-didn't_i;85;85;6\8;4\4;21.350131273269653;
